1000 12
1266 8 11
656 30 5
956 29 0
1226 10 9
910 37 12
418 22 6
111 15 4
567 33 3
447 23 8
726 34 9
241 1 8
1261 17 4
489 11 0
38 8 5
417 37 0
451 33 5
203 2 1
998 30 8
562 36 11
914 11 11
632 34 10
360 28 7
275 5 0
1069 24 4
948 16 6
687 33 8
1159 8 7
498 35 8
340 22 11
512 21 8
951 15 4
906 27 9
125 32 6
1246 11 7
927 11 3
987 25 3
55 17 12
810 15 5
559 34 6
1235 32 6
173 19 12
1257 38 8
554 3 11
532 14 5
455 3 2
867 30 1
669 12 5
52 16 8
1255 22 0
1219 4 1
244 11 12
638 14 1
912 28 11
43 29 0
628 39 2
849 24 4
943 9 9
46 9 1
397 8 5
535 37 3
163 1 8
262 10 0
1253 35 2
470 16 1
1240 2 3
980 39 9
201 37 3
549 26 11
579 30 11
501 26 5
278 37 0
298 36 5
1127 28 1
409 17 4
1040 14 0
923 21 9
1161 30 9
494 32 4
919 28 8
655 7 0
156 21 2
227 17 9
1109 9 4
76 1 5
1244 18 0
66 9 8
715 21 2
289 28 8
264 12 5
136 40 3
931 30 10
216 37 12
137 11 6
997 17 0
1063 11 2
420 39 11
350 26 4
776 30 5
200 10 3
1177 37 2
747 25 0
196 4 11
332 28 8
1214 15 7
1019 7 12
370 34 7
12 24 4
312 1 10
176 6 1
1105 13 10
915 14 4
1208 34 8
121 17 3
401 17 7
56 25 12
972 10 3
86 36 8
596 31 6
1053 33 2
602 14 8
399 10 7
69 13 6
116 40 6
932 8 8
620 28 3
763 27 7
773 11 0
1115 33 8
336 28 7
155 23 10
622 4 2
1166 10 11
670 24 9
1176 13 2
758 23 7
565 6 8
211 30 12
187 33 12
398 29 1
390 26 3
406 24 4
206 22 8
853 11 0
903 25 0
663 32 4
936 12 6
295 14 12
144 38 3
965 19 0
821 11 1
736 35 12
1130 28 1
373 37 1
188 30 3
1193 33 9
102 26 1
1080 3 0
101 21 6
48 7 9
53 10 5
355 15 5
471 25 9
182 8 11
253 7 1
169 39 10
703 33 10
574 6 8
164 40 8
1272 26 9
1060 31 12
1237 30 12
255 8 7
909 5 10
1124 12 11
940 2 6
1168 15 6
5 26 11
356 15 10
1151 31 12
1252 13 5
642 30 11
885 16 12
1043 29 9
384 14 7
317 18 4
51 2 3
771 12 7
529 1 8
221 12 11
333 32 2
823 36 3
1239 26 0
1284 8 7
1153 11 1
11 9 6
1157 28 11
457 39 12
238 24 6
975 21 2
802 17 4
790 36 8
23 6 0
319 40 7
99 8 10
841 27 6
985 35 9
880 18 2
887 35 7
243 30 0
693 2 6
834 7 6
1274 31 6
1014 2 2
507 24 5
184 31 1
706 23 9
476 39 12
757 34 11
789 4 5
971 33 1
62 15 8
3 7 0
1202 11 6
537 23 6
165 21 6
1135 13 7
98 3 2
197 1 12
367 18 0
112 9 2
1054 36 1
808 2 2
1006 9 7
502 26 12
383 39 12
828 32 4
115 29 2
1068 15 3
917 35 0
988 26 10
780 2 2
1023 2 2
292 5 4
695 21 5
666 6 5
78 29 0
833 23 5
503 9 8
577 15 11
749 28 4
709 20 9
204 31 1
643 32 10
563 11 4
935 3 2
2 38 9
590 17 10
469 38 5
1201 23 4
637 12 7
691 32 7
450 37 2
89 20 9
1131 4 5
118 33 9
793 35 3
1003 24 10
441 25 5
527 27 3
1155 7 9
191 17 7
1073 38 12
459 2 4
838 28 0
90 22 2
868 4 10
754 1 3
369 1 10
235 13 8
286 1 7
894 15 8
886 17 3
570 19 12
974 35 2
486 3 10
50 37 10
190 8 4
677 27 10
815 39 4
583 11 3
271 31 3
846 35 4
166 14 4
584 19 7
614 27 10
908 6 4
690 2 12
358 7 11
297 21 8
884 27 12
1036 28 8
1030 36 1
791 31 12
287 33 8
993 35 10
942 7 9
631 20 12
649 2 5
518 37 7
721 14 10
33 40 12
1283 10 3
1260 12 6
1203 34 6
324 31 7
1134 6 6
252 19 10
551 30 3
1106 1 3
274 12 2
766 27 6
819 31 9
850 28 10
452 17 4
600 1 1
303 20 12
318 1 1
1137 9 11
794 7 9
550 19 11
158 2 5
1116 35 3
1140 18 0
434 19 9
986 26 4
847 7 3
1118 10 2
657 21 7
1075 11 11
109 11 6
639 14 7
1164 33 10
698 5 11
804 25 12
756 39 5
377 18 9
1037 35 7
913 28 5
784 17 6
522 28 11
448 5 9
73 14 2
1101 3 2
538 1 3
1288 32 4
934 37 3
573 29 4
207 25 8
764 6 4
71 13 2
827 1 0
284 19 7
525 16 5
544 37 12
327 2 8
865 14 0
876 29 3
331 23 4
750 20 4
245 12 7
282 22 1
744 17 3
316 33 10
854 1 5
473 38 8
890 22 10
1136 40 3
220 33 3
44 32 4
882 38 2
326 14 9
1175 10 4
1045 18 2
741 6 12
352 6 0
376 22 0
454 34 11
42 32 2
1058 28 6
1007 20 5
7 33 10
879 35 1
586 1 10
27 29 6
869 17 0
899 29 6
122 2 9
1031 35 5
1178 40 0
315 22 11
792 15 0
202 29 10
449 20 12
528 33 8
674 34 4
67 24 2
704 28 2
82 36 10
1167 9 7
1172 8 7
283 12 6
682 15 5
477 7 11
1169 16 9
1292 27 9
133 34 4
387 6 11
1162 32 10
896 36 1
1263 31 8
402 30 10
1038 38 1
1050 28 8
1120 9 7
1215 21 10
226 36 2
866 8 2
180 25 3
1221 39 6
597 29 7
1095 30 12
591 28 5
72 7 0
1206 39 4
141 35 12
842 16 2
520 19 11
430 22 10
1123 17 5
753 28 8
394 30 9
797 38 9
1232 18 5
330 35 12
1190 16 10
228 12 5
248 39 9
732 5 0
1247 9 6
723 5 6
1052 19 10
524 17 10
79 24 1
1204 1 9
775 8 4
347 22 9
389 15 3
1077 2 9
944 28 7
21 23 2
1207 38 5
254 13 5
81 16 4
958 28 6
1139 7 0
1096 31 6
1258 11 2
77 34 8
892 15 10
799 1 11
279 22 7
1129 15 1
1 7 12
601 27 2
901 1 11
213 16 4
1171 18 4
712 21 11
475 19 4
616 25 7
479 7 9
1033 30 10
587 3 11
1079 5 1
